,label,bbox-0,bbox-1,bbox-2,bbox-3,area,area_bbox,axis_major_length,axis_minor_length,centroid-0,centroid-1,eccentricity,area_convex,perimeter,equivalent_diameter_area,extent,orientation
0,1,223,545,249,572,505.0,702.0,27.826328588179653,23.270194126927077,236.07524752475248,558.3801980198019,0.5483249782427877,531.0,86.94112549695429,25.357168021907675,0.7193732193732194,-1.107077409640834
1,2,223,860,249,893,554.0,858.0,29.037062132873274,24.7844872016866,235.63718411552347,876.8736462093863,0.521016420898265,590.0,95.25483399593904,26.558891313141824,0.6456876456876457,1.4889671958889599
2,3,226,954,251,987,585.0,825.0,30.87623389807668,24.309262919634318,238.04615384615386,969.7521367521367,0.6165534108442168,615.0,95.01219330881975,27.29185104880338,0.7090909090909091,1.3687677586944176
3,4,242,1112,261,1147,503.0,665.0,34.28250740446465,18.833933351395906,251.2306163021869,1129.1232604373758,0.835576282128548,526.0,90.52691193458118,25.30690599424961,0.7563909774436091,1.4504482342378415
4,5,261,731,283,753,336.0,484.0,21.0614794387241,20.450065614208782,271.3482142857143,742.1041666666666,0.23920111609644032,359.0,70.5269119345812,20.683531783305643,0.6942148760330579,1.3969322564658164
5,6,291,1216,312,1242,430.0,546.0,27.121402097170368,20.224128620587784,300.7348837209302,1228.6232558139534,0.666294272511891,444.0,78.2842712474619,23.398568422792877,0.7875457875457875,1.2312570677796144
6,7,317,441,343,469,517.0,728.0,27.747333204559745,23.86468243266195,329.4119922630561,454.65183752417795,0.5101740040439046,548.0,89.35533905932738,25.65667251667837,0.7101648351648352,-1.117362199312791
7,8,346,1197,377,1233,835.0,1116.0,37.05937485180799,28.828257049202602,360.8287425149701,1214.311377245509,0.6283957931593536,881.0,114.18376618407356,32.60605802383755,0.7482078853046595,1.2152756519838683
8,9,349,304,385,338,863.0,1224.0,41.37361296414915,26.63592518615799,366.5515643105446,319.90150637311706,0.7652020787294738,903.0,117.25483399593905,33.14823867276277,0.7050653594771242,-0.7484546511099621
9,10,354,678,378,705,423.0,648.0,25.28007815548594,21.693751624544472,365.6761229314421,690.5791962174941,0.5134220153166983,451.0,81.59797974644667,23.207333483685147,0.6527777777777778,-1.3274173820406616
10,11,367,899,398,931,712.0,992.0,32.64832819667248,27.84013573183429,381.85674157303373,914.3623595505618,0.5223555966635345,757.0,104.01219330881975,30.10891156869401,0.717741935483871,1.0669639630885834
11,12,380,1007,409,1040,730.0,957.0,32.793844260068205,28.424907925639587,393.77945205479455,1022.686301369863,0.49869815877757545,757.0,104.18376618407356,30.487126261041215,0.7628004179728317,1.524964814770538
12,13,408,592,440,624,712.0,1024.0,33.36468420485255,27.298130891514866,423.85393258426967,607.7865168539325,0.5749701131593093,748.0,104.66904755831214,30.10891156869401,0.6953125,-0.8743072741643491
13,14,421,1427,448,1454,548.0,729.0,28.536991290442895,24.698950950702553,434.7189781021898,1440.0127737226278,0.5008977229787027,580.0,91.11269837220809,26.414679072721462,0.7517146776406035,0.8317768940981004
14,15,447,662,476,696,726.0,986.0,34.01004364543582,27.385749712732167,461.1404958677686,678.6831955922866,0.5929688997533468,762.0,105.59797974644667,30.403485153477522,0.7363083164300203,1.3253782654583774
15,16,451,1244,478,1271,556.0,729.0,29.054309776650733,24.50120965994084,464.7787769784173,1256.4442446043165,0.537458771717064,584.0,91.11269837220809,26.60678836073137,0.7626886145404664,0.8765057253556703
16,17,501,208,534,240,844.0,1056.0,35.140246144144385,30.66293663132374,516.8838862559242,223.60663507109004,0.48845798070613466,877.0,109.59797974644667,32.78130832893156,0.7992424242424242,-0.7258278900354755
17,18,505,1551,538,1587,854.0,1188.0,37.775537127867146,28.96885155394372,520.6967213114754,1568.9250585480095,0.641804823988791,899.0,115.84062043356596,32.97493853222215,0.7188552188552189,1.033790968105559
18,19,528,343,554,375,640.0,832.0,32.446161863182176,25.34341511563078,540.2203125,359.1734375,0.6244168186772341,677.0,99.35533905932736,28.54598585844434,0.7692307692307693,-1.4515433813883671
19,20,545,1466,577,1496,746.0,960.0,31.36672275987307,30.37794100662579,560.6099195710456,1480.1554959785524,0.24910405166054111,783.0,105.94112549695429,30.81942083122964,0.7770833333333333,-0.18615827587341188
20,21,546,748,582,787,1029.0,1404.0,38.55399095519639,34.30324721764846,562.4275996112731,766.8931000971818,0.45645658087111596,1079.0,126.66904755831214,36.19618062078487,0.7329059829059829,-1.2413609502631044
21,22,568,1197,598,1228,682.0,930.0,32.092155933679145,27.18823690416921,582.4912023460411,1212.274193548387,0.5312858975052136,715.0,101.59797974644665,29.467768315727287,0.7333333333333333,1.0086728526346065
22,23,584,898,615,934,830.0,1116.0,35.38441711309758,30.05698015277895,598.855421686747,915.6578313253012,0.5276833554824385,870.0,111.25483399593904,32.5082885143187,0.7437275985663082,1.4297066691761304
23,24,610,1558,644,1591,817.0,1122.0,35.17542157044733,29.88375551522856,625.6780905752754,1574.5667074663402,0.5274863021892037,858.0,112.42640687119284,32.252700786889584,0.7281639928698752,0.7333191250033929
24,25,639,1502,676,1536,958.0,1258.0,38.75737887012686,31.551744994550987,657.1033402922756,1518.2265135699374,0.5807477560649882,994.0,119.25483399593902,34.92511251028815,0.7615262321144675,0.48884375574607436
25,26,640,1649,675,1679,742.0,1050.0,35.05096619740614,27.07723295799622,657.3584905660377,1663.6563342318059,0.6350022144422427,783.0,106.25483399593905,30.736683981742253,0.7066666666666667,0.5550564924916855
26,27,656,1101,694,1143,1227.0,1596.0,40.828816379765385,38.40875149080045,674.6381418092909,1122.0285248573757,0.33916597992273145,1273.0,134.3259018078045,39.525497104907416,0.768796992481203,1.102882783764392
27,28,661,1342,694,1371,768.0,957.0,32.83759577624276,29.858705477387815,676.80078125,1355.7330729166667,0.4161758381363802,800.0,104.76955262170047,31.270560761786875,0.8025078369905956,0.03697398766197673
28,29,670,1034,690,1060,380.0,520.0,26.407003457838414,18.49917051253781,680.1184210526316,1045.9684210526316,0.7136128274389038,401.0,75.698484809835,21.996159369293583,0.7307692307692307,1.1057884123743138
29,30,672,888,697,912,436.0,600.0,24.158335548863278,23.15434988727898,684.295871559633,899.0917431192661,0.28528934086128954,462.0,79.94112549695429,23.56124872549269,0.7266666666666667,-0.3580284092146446
30,31,720,705,757,741,1014.0,1332.0,37.48633815685797,34.64202181538366,738.4763313609468,723.5759368836292,0.38209289177956374,1054.0,123.25483399593904,35.93139154501889,0.7612612612612613,-0.825309035550633
31,32,725,847,755,871,558.0,720.0,29.80671449592607,23.9319090708225,739.1433691756272,858.0,0.5961093106552755,584.0,90.5269119345812,26.654599339742866,0.775,0.05707116539694081
32,33,729,1575,760,1610,855.0,1085.0,35.22400818519678,31.185144853661917,743.7473684210527,1592.3976608187133,0.46494841992038344,897.0,112.76955262170047,32.99423905394037,0.7880184331797235,-1.4701303238371362
33,34,735,934,774,974,1160.0,1560.0,41.01304240819447,36.15843285889581,754.1448275862069,953.9181034482758,0.47193649974796836,1201.0,131.74011537017762,38.43120960746342,0.7435897435897436,0.960986807712638
34,35,791,1705,831,1741,1068.0,1440.0,39.525058548085084,34.58062767786554,810.4597378277153,1723.3426966292134,0.48429657683577354,1116.0,126.91168824543142,36.875735026940866,0.7416666666666667,0.12357613591474818
35,36,813,655,844,687,755.0,992.0,32.35400242291039,29.838407038352532,827.5456953642384,669.830463576159,0.3865993079279853,788.0,106.18376618407358,31.004771508189638,0.7610887096774194,1.3899983635287294
36,37,832,1513,864,1545,770.0,1024.0,32.807043717513984,29.971759197200022,847.4597402597402,1527.983116883117,0.40666588496057565,803.0,105.84062043356593,31.311251163856024,0.751953125,0.8456373544265142
37,38,851,1708,893,1745,1198.0,1554.0,43.15763280652046,35.622067091770205,872.0258764607679,1725.6143572621036,0.5645565833966277,1253.0,134.91168824543144,39.05561386782603,0.7709137709137709,0.40981590896153536
38,39,891,1347,916,1370,428.0,575.0,23.852301493008373,23.077953796022307,903.5560747663551,1357.1985981308412,0.25273429254491764,447.0,79.2842712474619,23.34408972623798,0.7443478260869565,-0.2363163107278689
39,40,901,936,931,971,781.0,1050.0,34.3053625259406,29.13371687105277,916.1882202304738,952.9359795134443,0.5279962076811705,816.0,108.42640687119285,31.534109856442154,0.7438095238095238,1.4185012029840713
40,41,911,1573,947,1607,935.0,1224.0,35.15731631997715,33.958458002927614,928.2983957219251,1589.9914438502674,0.25891475625123817,972.0,115.49747468305833,34.503318308930474,0.7638888888888888,-0.16785887107512662
