,label,bbox-0,bbox-1,bbox-2,bbox-3,area,area_bbox,axis_major_length,axis_minor_length,centroid-0,centroid-1,eccentricity,area_convex,perimeter,equivalent_diameter_area,extent,orientation
0,1,711,1189,740,1220,691.0,899.0,31.076670585969516,28.34269924257581,724.8306801736613,1204.0897250361795,0.41013470063061047,714.0,96.66904755831213,29.661566469288122,0.7686318131256952,-1.4258850147842972
1,2,789,1666,824,1705,1035.0,1365.0,38.9788947400543,33.882482444161774,806.119806763285,1685.575845410628,0.4943692446724981,1067.0,119.39696961967,36.301555459799424,0.7582417582417582,1.198863534964887
2,3,793,897,820,927,616.0,810.0,30.429976119754066,25.82877452883772,806.1542207792207,911.5957792207793,0.5287240442515372,635.0,91.25483399593905,28.00563442518059,0.7604938271604939,-1.0749411657237857
3,4,795,1223,815,1245,311.0,440.0,21.537480797682427,18.979516107425415,803.6591639871383,1233.1093247588424,0.47268409957577057,324.0,65.35533905932738,19.899183360445615,0.7068181818181818,1.3118823292158928
4,5,796,1069,813,1091,272.0,374.0,21.3866785196952,16.24841991441867,804.0147058823529,1079.327205882353,0.650221261005755,293.0,62.2842712474619,18.609705966725112,0.7272727272727273,-1.4333084671609613
5,6,803,1552,821,1571,226.0,342.0,18.728508902072438,15.522515619320371,811.6194690265487,1560.9203539823009,0.5595190603733264,235.0,54.76955262170047,16.96325844612841,0.6608187134502924,0.8851175443732036
6,7,819,977,836,994,209.0,289.0,17.089879512314248,15.760263842322713,827.3205741626795,984.5263157894736,0.3867164943219531,220.0,52.2842712474619,16.312788383647018,0.7231833910034602,-0.7894151853207388
7,8,845,1273,866,1303,463.0,630.0,29.162648097535293,20.383978600280976,855.4794816414687,1287.9244060475162,0.7151455456143379,477.0,80.42640687119285,24.279825147895533,0.734920634920635,-1.502958755956277
8,9,848,1393,870,1414,338.0,462.0,22.2410319507534,19.429851374220465,858.8313609467456,1402.405325443787,0.4866377450190202,352.0,67.35533905932738,20.7449985808745,0.7316017316017316,-0.3938242786745937
9,10,851,1155,869,1179,290.0,432.0,24.95498795299829,14.847638911953812,859.548275862069,1165.7137931034483,0.8037428729153909,302.0,64.76955262170047,19.21560480373171,0.6712962962962963,1.1199954925923556
10,11,881,1836,899,1863,344.0,486.0,25.455285436092613,17.29901727851677,889.3255813953489,1849.5203488372092,0.7335972431824238,358.0,69.59797974644667,20.928315827817965,0.7078189300411523,1.4128313150954985
