,label,bbox-0,bbox-1,bbox-2,bbox-3,area,area_bbox,axis_major_length,axis_minor_length,centroid-0,centroid-1,eccentricity,area_convex,perimeter,equivalent_diameter_area,extent,orientation
0,1,89,1447,120,1490,1013.0,1333.0,42.06761485353414,30.73839086980415,103.56268509378084,1467.9269496544916,0.6827092626194861,1034.0,118.81118318204308,35.91366952591617,0.759939984996249,1.5345610210926677
1,2,113,1318,133,1343,333.0,500.0,24.63905318348986,17.382015297396215,122.52852852852853,1330.2252252252251,0.7087437233136108,356.0,70.18376618407356,20.590987552733093,0.666,1.0745475509052445
2,3,122,1547,137,1565,214.0,270.0,18.2311842621713,14.965212126560653,129.31308411214954,1555.9018691588785,0.5711324392017781,221.0,52.04163056034262,16.50676414605009,0.7925925925925926,1.3097527773718736
3,4,125,1728,156,1772,955.0,1364.0,45.21768083537486,27.008459314297305,139.7214659685864,1750.3633507853403,0.8020189108759157,985.0,120.22539674441619,34.870385217575105,0.7001466275659824,1.1805460301453974
4,5,157,1380,189,1423,1029.0,1376.0,41.7248069653058,31.55858104681224,171.62099125364432,1401.779397473275,0.6541665176598287,1057.0,120.22539674441619,36.19618062078487,0.7478197674418605,1.4931168560323023
5,6,164,1796,185,1818,318.0,462.0,26.779658254546444,15.149527540228268,174.13836477987422,1806.317610062893,0.8246040851451356,327.0,67.35533905932738,20.12188299403865,0.6883116883116883,0.8519911184172095
6,7,167,1644,198,1679,843.0,1085.0,38.70857408834202,27.877034998642255,182.00237247924082,1660.91221826809,0.6937901035142683,871.0,109.84062043356595,32.7618823667344,0.7769585253456222,0.9410812197550928
7,8,171,1915,202,1949,747.0,1054.0,37.92307077649074,25.117065946090385,186.0066934404284,1931.3534136546184,0.7492243907856602,775.0,104.3259018078045,30.8400703617415,0.7087286527514232,0.9085775234285313
8,9,176,1243,203,1272,594.0,783.0,28.955844405501658,26.17999528307251,188.8181818181818,1257.6565656565656,0.42724667415709777,613.0,89.25483399593904,27.500987065425246,0.7586206896551724,1.0991026702366484
9,10,177,1514,202,1551,668.0,925.0,35.20736777086171,24.253657145503425,188.49401197604791,1531.9760479041915,0.724875247933783,695.0,98.32590180780451,29.163744887841286,0.7221621621621621,1.5623044719640764
10,11,191,1103,214,1130,472.0,621.0,27.539581296903098,21.90187145744808,202.19703389830508,1115.9512711864406,0.6062330910494419,488.0,79.59797974644665,24.514670406003766,0.7600644122383253,-1.1676166661158422
11,12,196,1321,217,1344,348.0,483.0,22.376271107474356,19.95835456996984,206.07471264367817,1331.7988505747126,0.45214819310491267,363.0,68.76955262170047,21.049640414216977,0.7204968944099379,-1.442843710310549
12,13,226,1132,255,1168,800.0,1044.0,35.07165399176975,29.157420346827323,240.2825,1149.92625,0.5557235770139509,819.0,103.74011537017762,31.915382432114615,0.7662835249042146,1.4994946749101201
13,14,251,1925,282,1963,874.0,1178.0,41.591636087517585,26.78153069504222,265.8352402745995,1943.8009153318078,0.7650959756909468,897.0,112.32590180780451,33.35882734897215,0.7419354838709677,1.0342259896896078
14,15,256,1645,289,1687,1013.0,1386.0,44.581754124717364,28.966228489706456,271.8242843040474,1665.953603158934,0.7601626618529619,1038.0,120.81118318204308,35.91366952591617,0.7308802308802309,1.0651346850167904
15,16,258,1890,281,1919,474.0,667.0,31.12660361316965,19.612811255505292,269.90717299578057,1903.2742616033756,0.7765156065628873,490.0,82.42640687119285,24.566553364370574,0.7106446776611695,1.013691232803478
16,17,265,1304,297,1345,1008.0,1312.0,40.5094198860235,31.725351927435135,280.30059523809524,1323.235119047619,0.6218204091860101,1030.0,117.39696961966999,35.82492792865108,0.7682926829268293,1.4422859554870513
17,18,275,947,297,975,441.0,616.0,28.599011987836384,19.774403428515964,285.8458049886621,960.795918367347,0.7224371509437136,457.0,79.01219330881975,23.695962509005764,0.7159090909090909,-1.0319810022282025
18,19,279,2029,294,2052,243.0,345.0,22.0032251459321,14.12815635545412,286.2962962962963,2039.9670781893003,0.7666252495827872,253.0,58.526911934581186,17.58969042850512,0.7043478260869566,-1.363433968876961
19,20,282,1004,319,1043,1081.0,1443.0,41.437253192913886,33.294409454148806,299.92969472710456,1022.5790934320074,0.5953185477907065,1118.0,122.81118318204308,37.09948716436268,0.7491337491337491,-0.9660940273088808
20,21,288,1488,313,1515,514.0,675.0,27.01863081209163,24.334432052171028,300.3988326848249,1501.3677042801557,0.4345374128684817,532.0,83.01219330881976,25.582125126616702,0.7614814814814815,1.2478676046752215
21,22,297,1604,330,1636,797.0,1056.0,32.764075852992754,31.08055655387638,313.2848180677541,1619.5846925972396,0.316426845958356,822.0,104.32590180780451,31.85548488335917,0.7547348484848485,-0.44752796979923126
22,23,312,1433,329,1452,247.0,323.0,18.9766358751265,16.838443490252374,320.6113360323887,1442.0404858299596,0.461144596134052,260.0,58.04163056034261,17.733870630789692,0.7647058823529411,1.2305698105239145
23,24,317,1184,344,1211,562.0,729.0,27.302131202398538,26.23501537981735,330.43594306049823,1197.085409252669,0.27684509964307297,576.0,85.84062043356596,26.749964937194992,0.7709190672153635,-1.0747982005902765
24,25,319,1858,339,1881,340.0,460.0,23.845018458829095,18.26223459342144,329.33235294117645,1868.620588235294,0.6429929327372917,358.0,68.52691193458118,20.806283791440396,0.7391304347826086,1.1540852478232237
25,26,323,1537,339,1556,235.0,304.0,18.97216349089092,15.940171365972846,329.98297872340424,1546.1191489361702,0.5422962773567301,244.0,55.45584412271571,17.297725082009,0.7730263157894737,-1.1634696250566274
