,label,bbox-0,bbox-1,bbox-2,bbox-3,area,area_bbox,axis_major_length,axis_minor_length,centroid-0,centroid-1,eccentricity,area_convex,perimeter,equivalent_diameter_area,extent,orientation
0,1,1035,1278,1073,1318,1040.0,1520.0,37.78465771122455,35.80182298737824,1053.7384615384615,1296.676923076923,0.3196883293919164,1131.0,142.36753236814715,36.38913473173784,0.6842105263157895,-1.2262919268530263
1,2,1040,1537,1082,1593,1858.0,2352.0,57.147025507205676,42.434415411469104,1059.192142088267,1564.8783638320774,0.6697927395675817,2018.0,211.16652224137042,48.638247029656945,0.7899659863945578,1.3328483155074462
2,3,1085,1748,1110,1774,476.0,650.0,27.843015295518857,22.07893984066256,1097.2478991596638,1761.079831932773,0.609248341361274,506.0,84.18376618407355,24.61832697999475,0.7323076923076923,-0.9762089553284636
3,4,1095,1856,1134,1901,1382.0,1755.0,45.781829266696064,38.97266073792907,1114.1823444283648,1878.5984081041968,0.5247292305206209,1496.0,160.33199846221441,41.9477895820983,0.7874643874643875,-1.1863426396125019
4,5,1113,1489,1133,1509,317.0,400.0,22.04416942526025,18.86051471545309,1122.129337539432,1498.2397476340693,0.5176732942181247,343.0,72.04163056034263,20.090219901261573,0.7925,0.8242110577346592
5,6,1126,1306,1164,1352,1243.0,1748.0,43.864694098474175,36.32920424975048,1145.0008045052293,1328.465004022526,0.5604170018457647,1313.0,140.12489168102783,39.7823673768393,0.7110983981693364,-1.4374222563832042
6,7,1128,1666,1172,1717,1702.0,2244.0,50.52163647854825,43.05753601868162,1149.4265569917743,1690.84312573443,0.5231195233187784,1771.0,158.12489168102786,46.551624087020286,0.7584670231729055,-1.554291468317453
7,8,1129,844,1157,891,969.0,1316.0,46.515013691300624,26.913589356648945,1141.8493292053663,866.7987616099072,0.8156114144772111,1040.0,127.74011537017762,35.1250497344612,0.736322188449848,-1.383693584106254
8,9,1142,1096,1180,1133,1101.0,1406.0,38.02180102828768,37.03632193849967,1160.9509536784742,1113.6203451407812,0.22619857872535168,1150.0,129.77564927611036,37.441110276718746,0.783072546230441,1.0532286614072077
9,10,1143,2024,1166,2049,409.0,575.0,24.598728237266133,21.34169657931098,1154.5403422982886,2035.4474327628361,0.49727409863167477,429.0,75.01219330881976,22.820056393372074,0.711304347826087,1.5574303770319433
10,11,1153,2133,1176,2161,469.0,644.0,27.49483176040255,22.3027886198495,1163.5117270788912,2146.539445628998,0.5848202130296238,524.0,91.25483399593904,24.436639426909572,0.7282608695652174,1.4264919040757789
11,12,1170,1890,1205,1934,1138.0,1540.0,42.52953386493302,34.16725643698368,1186.8022847100176,1910.9411247803164,0.5954705091675799,1188.0,129.63961030678928,38.065031221695,0.7389610389610389,1.5415194271114216
12,13,1171,2036,1205,2082,1107.0,1564.0,44.97448908909086,31.72507065944403,1187.9006323396568,2058.255645889792,0.7088079908509592,1176.0,135.71067811865476,37.542991037233904,0.7078005115089514,-1.4390558148237529
13,14,1178,1400,1218,1445,1390.0,1800.0,44.59212100951421,40.04352928482137,1198.3107913669064,1421.761870503597,0.4400043968063739,1454.0,144.71067811865476,42.06902622098444,0.7722222222222223,1.543427757860476
14,15,1183,2178,1208,2203,432.0,625.0,25.096355137104293,22.091772577646694,1194.736111111111,2189.9444444444443,0.47445802058842157,461.0,78.84062043356595,23.452920571340155,0.6912,1.2046549493536474
15,16,1188,838,1222,879,1007.0,1394.0,39.67783204290836,32.92142414405759,1205.3376365441907,857.7219463753723,0.5581823263496629,1081.0,130.39696961967,35.80715321759479,0.7223816355810617,-1.4185267725480026
