,label,bbox-0,bbox-1,bbox-2,bbox-3,area,area_bbox,axis_major_length,axis_minor_length,centroid-0,centroid-1,eccentricity,area_convex,perimeter,equivalent_diameter_area,extent,orientation
0,1,1000,1600,1035,1642,1124.0,1470.0,42.471754124963766,34.17894069357738,1015.9519572953736,1619.6112099644129,0.5936203727433982,1203.0,134.5685424949238,37.83016320718592,0.7646258503401361,-1.547923985212199
1,2,1009,1557,1034,1577,316.0,500.0,25.379836174100756,17.25101307367388,1021.1360759493671,1567.1582278481012,0.7334778680859249,373.0,79.59797974644667,20.0585068271871,0.632,-0.39727331653023085
2,3,1022,1271,1052,1311,890.0,1200.0,38.697815963134936,29.49940013669193,1036.7966292134831,1290.438202247191,0.6472221736224759,929.0,113.74011537017762,33.66278649806482,0.7416666666666667,1.4623853055081122
3,4,1024,1461,1056,1495,804.0,1088.0,35.4650325418308,29.073678686539317,1040.1629353233832,1477.3855721393036,0.5726723476887965,847.0,109.49747468305831,31.99507140118726,0.7389705882352942,-1.0759633504296933
4,5,1038,1204,1061,1227,371.0,529.0,23.701889775602694,20.48924930685592,1047.867924528302,1216.2318059299191,0.5027078729952349,392.0,73.35533905932738,21.73411767467788,0.7013232514177694,0.8266877470217402
5,6,1044,1921,1090,1969,1591.0,2208.0,46.34544343271983,44.24319303292129,1067.296668761785,1944.6524198617221,0.2977638981827021,1692.0,158.95331880577405,45.00804501057165,0.7205615942028986,1.035759071947968
6,7,1054,1698,1073,1720,323.0,418.0,22.256858274188023,18.644355375159208,1063.1145510835913,1708.6346749226007,0.5461454743989711,343.0,67.69848480983498,20.279456919490165,0.7727272727272727,1.434156763574595
7,8,1058,2190,1089,2227,888.0,1147.0,36.883805984456906,31.251570546713435,1072.5720720720722,2208.7004504504503,0.5311179772658814,936.0,116.32590180780451,33.62494186946387,0.7741935483870968,1.3410328887390375
8,9,1060,1777,1091,1810,786.0,1023.0,32.9168247644355,30.695875194576125,1074.8015267175572,1793.1882951653945,0.3610965405266581,824.0,107.25483399593904,31.634890266315733,0.7683284457478006,-1.2151063676382037
9,10,1066,2076,1107,2124,1507.0,1968.0,46.95285451566605,41.31203448998303,1085.5600530856004,2100.207697412077,0.4752291927266797,1599.0,155.05382386916236,43.803789720934994,0.7657520325203252,1.4805375870658497
