,label,bbox-0,bbox-1,bbox-2,bbox-3,area,area_bbox,axis_major_length,axis_minor_length,centroid-0,centroid-1,eccentricity,area_convex,perimeter,equivalent_diameter_area,extent,orientation
0,1,935,1246,962,1278,659.0,864.0,32.65092585224686,26.208902598486368,947.5735963581184,1260.4157814871016,0.5963828408227668,700.0,102.25483399593904,28.96661630188228,0.7627314814814815,1.4176956577398696
1,2,949,1107,983,1143,924.0,1224.0,35.982313784201374,32.82473052069552,965.827922077922,1124.6634199134198,0.40964227605613446,963.0,115.74011537017762,34.29975713230766,0.7549019607843137,-1.1626996217155432
2,3,950,1428,980,1464,757.0,1080.0,35.75045578449097,27.342867706842014,964.1202113606341,1445.6314398943198,0.6442372499605296,816.0,113.15432893255071,31.045810270703488,0.700925925925926,-1.2521163930770507
3,4,973,1732,994,1755,375.0,483.0,24.075843591741492,19.980437516380867,982.504,1743.176,0.5579186627758611,388.0,71.35533905932738,21.850968611841584,0.7763975155279503,1.0688057199815542
4,5,974,858,990,871,142.0,208.0,15.638261968438131,11.687536179363661,981.7887323943662,864.2042253521126,0.6644103475962,151.0,44.2842712474619,13.446189622059965,0.6826923076923077,-0.4957013181382479
5,6,1009,1213,1041,1273,1244.0,1920.0,59.509272023523785,27.887860817308862,1024.0209003215434,1240.5530546623795,0.8833942721513728,1389.0,164.95331880577405,39.79836672089123,0.6479166666666667,-1.525285981761141
6,7,1010,1883,1044,1921,849.0,1292.0,36.23261910317412,30.183912023914846,1026.6525323910482,1901.771495877503,0.5531840413317831,915.0,116.22539674441619,32.878265974350796,0.6571207430340558,-1.1966831841307695
7,8,1014,2100,1041,2128,558.0,756.0,29.428864424157805,24.701101244715016,1027.5125448028673,2113.5250896057346,0.5435922152124308,612.0,99.0477272147525,26.654599339742866,0.7380952380952381,1.1597950267083381
8,9,1022,1077,1049,1106,560.0,783.0,31.066861069635195,23.179163329761078,1035.1642857142858,1090.9392857142857,0.6658274750773974,605.0,93.84062043356596,26.702324712498182,0.7151979565772669,-1.0861733137428067
9,10,1035,740,1075,778,1197.0,1520.0,40.06907677114323,38.10399752782222,1054.0200501253132,758.8830409356725,0.30932092057623717,1235.0,128.5685424949238,39.039310125154486,0.7875,0.1545319201369809
10,11,1036,978,1068,1016,871.0,1216.0,35.98609042824076,31.13910068684346,1051.53616532721,996.5889781859931,0.501238187550324,933.0,117.18986283848344,33.30152614317138,0.7162828947368421,-1.414044796643072
11,12,1050,1458,1087,1494,1037.0,1332.0,37.336861894517256,35.46831235618409,1068.1012536162007,1475.3240115718418,0.3123889170479919,1083.0,121.39696961966999,36.33661249883324,0.7785285285285285,0.45415329815176403
12,13,1052,1905,1076,1929,423.0,576.0,24.40468242591538,22.308942622496957,1064.3451536643026,1916.985815602837,0.4054313295007029,449.0,77.59797974644665,23.207333483685147,0.734375,-1.0343967183159828
13,14,1061,2100,1099,2146,1163.0,1748.0,44.15678360334344,33.797480303996494,1079.006018916595,2122.3929492691313,0.6435581285069846,1229.0,134.40306627407986,38.48087304787918,0.6653318077803204,1.529876844635324
14,15,1064,1783,1089,1810,529.0,675.0,27.52746701861171,24.571170955026297,1076.5217391304348,1795.9508506616257,0.450838396417537,544.0,83.59797974644665,25.95272084319679,0.7837037037037037,1.1105165484332902
15,16,1070,538,1104,578,990.0,1360.0,39.60164235462944,32.25800893178024,1085.2838383838384,558.4161616161616,0.5800759370497282,1070.0,132.01828996322965,35.50362163621919,0.7279411764705882,-1.4390579118508604
16,17,1084,1191,1106,1217,385.0,572.0,26.561901287166958,18.996990985352348,1094.0623376623378,1203.5064935064936,0.69892296572474,410.0,76.66904755831214,22.140398025397776,0.6730769230769231,-0.960400662180629
17,18,1104,1260,1143,1300,1114.0,1560.0,39.06655085919999,36.43823161229415,1123.0107719928187,1278.7692998204668,0.3605962603660926,1160.0,126.71067811865474,37.66150359232848,0.7141025641025641,-0.4667216887282348
18,19,1105,695,1129,723,510.0,672.0,28.19940828097493,23.425663117185245,1116.2156862745098,709.5392156862745,0.5566983741027435,545.0,87.73401871576775,25.482389366284572,0.7589285714285714,-1.2097051762197022
19,20,1114,536,1140,570,593.0,884.0,32.83629643747402,23.974986183737776,1125.9274873524453,553.1214165261383,0.683301069847892,673.0,108.32590180780451,27.47782833536798,0.670814479638009,1.5411821580186658
20,21,1121,1065,1151,1099,732.0,1020.0,34.388571281879194,27.557207927196252,1135.4617486338798,1081.3852459016393,0.5981986383371489,791.0,113.11879502661797,30.52886088189566,0.7176470588235294,1.2527337811707042
21,22,1122,385,1143,411,427.0,546.0,26.771421345584322,20.4627729571329,1131.8384074941453,397.37470725995314,0.6447999393439395,447.0,77.35533905932738,23.31680264534386,0.782051282051282,-1.1127309614831382
22,23,1143,291,1176,328,933.0,1221.0,36.54818926656045,33.07771100376405,1159.0450160771704,307.95069667738477,0.42531843860995555,989.0,121.9827560572969,34.46639660942099,0.7641277641277642,-1.1724204417425987
23,24,1144,1696,1181,1739,1171.0,1591.0,42.471389668405784,35.22500222111619,1162.3074295473955,1716.8787361229718,0.5586820650447332,1218.0,131.29646455628165,38.61299660586932,0.7360150848522942,1.1964298326137277
24,25,1149,1616,1165,1642,326.0,416.0,26.336024313423508,16.013248768856624,1156.7638036809815,1629.064417177914,0.7939095163559379,339.0,68.2842712474619,20.37341629633241,0.7836538461538461,-1.4379933990426912
25,26,1157,1959,1185,1989,602.0,840.0,30.95856888715184,24.854990288105903,1170.455149501661,1973.8671096345515,0.5961852859377882,632.0,93.25483399593905,27.685559519911603,0.7166666666666667,0.9258817436694163
26,27,1168,1068,1189,1090,382.0,462.0,23.12729216236271,21.35437446906402,1178.458115183246,1078.4476439790576,0.38398125683263507,403.0,77.69848480983498,22.05396803500069,0.8268398268398268,-1.5270097540625407
27,28,1168,1863,1190,1889,401.0,572.0,25.929007390695265,20.041461905268108,1179.4064837905237,1875.152119700748,0.6344840584803468,439.0,79.59797974644665,22.595775212167435,0.701048951048951,1.5663434607788718
28,29,1171,1321,1190,1342,294.0,399.0,21.646072381036777,17.518043847794477,1180.2687074829932,1331.595238095238,0.5874033301289822,310.0,65.11269837220809,19.347672370394786,0.7368421052631579,-1.2127595828839048
29,30,1173,2331,1209,2390,1400.0,2124.0,60.74552632479192,31.369690605214274,1192.855,2357.375,0.856340542438635,1551.0,164.02438661763952,42.22008245644752,0.6591337099811676,1.420753334583269
30,31,1175,2430,1213,2472,1202.0,1596.0,41.86734583380489,36.723380229586446,1193.9891846921796,2449.9417637271213,0.48024101549424647,1264.0,137.29646455628165,39.1207608920336,0.7531328320802005,1.3217707773061915
