,label,bbox-0,bbox-1,bbox-2,bbox-3,area,area_bbox,axis_major_length,axis_minor_length,centroid-0,centroid-1,eccentricity,area_convex,perimeter,equivalent_diameter_area,extent,orientation
0,1,935,1293,966,1326,728.0,1023.0,31.95154724321508,29.179599711836808,950.1771978021978,1309.5549450549452,0.4074101844217777,765.0,102.5685424949238,30.445334430207833,0.7116324535679375,-1.5582675324529183
1,2,938,1092,977,1136,1278.0,1716.0,43.16665023163212,38.01268111719801,957.4295774647887,1113.2621283255087,0.47385480890415005,1352.0,146.2253967444162,40.3385688661799,0.7447552447552448,-1.523510474981792
2,3,952,949,990,989,1066.0,1520.0,40.47709154871949,35.272802865056796,970.6003752345216,970.1463414634146,0.4905264230596318,1206.0,143.95331880577405,36.84119100528216,0.7013157894736842,-0.7212481246432053
3,4,964,1191,983,1212,324.0,399.0,21.006654016747692,19.693386308878047,973.1604938271605,1201.0246913580247,0.3480303913807245,335.0,64.87005768508881,20.310825007719227,0.8120300751879699,1.5266539558302124
4,5,964,1484,1002,1524,1170.0,1520.0,39.87221292459004,37.48587594534985,982.2452991452991,1502.4504273504274,0.34075984477523624,1208.0,127.98275605729691,38.59650589548412,0.7697368421052632,-1.3236301956740073
5,6,965,1370,996,1406,887.0,1116.0,39.486156759172346,29.4155884283358,979.9165727170237,1387.4656144306653,0.6671096701160409,977.0,124.08326112068524,33.60600357347016,0.7948028673835126,1.3035247921727933
6,7,976,751,1015,800,1384.0,1911.0,48.93765296228389,36.40305520327879,993.8229768786127,775.7832369942197,0.6683288135951517,1462.0,149.88225099390857,41.97813156768016,0.7242281527995814,1.493247161931587
7,8,983,1662,1010,1693,646.0,837.0,31.529940117512318,26.359519304583642,995.7910216718266,1677.7956656346748,0.5487057947295857,678.0,97.01219330881976,28.679483013103898,0.7718040621266428,-1.4266809213825915
8,9,1000,1834,1026,1865,641.0,806.0,31.41702981733051,26.06048078885728,1012.1466458658347,1849.2527301092043,0.5585041353104135,661.0,93.84062043356595,28.568278705151968,0.7952853598014888,1.4381295526953541
9,10,1008,2069,1037,2105,746.0,1044.0,34.48458434882885,27.68143959140799,1021.857908847185,2087.053619302949,0.5963571161972782,791.0,106.5685424949238,30.81942083122964,0.7145593869731801,-1.5305214243270944
10,11,1011,1083,1043,1118,737.0,1120.0,32.91641988057822,28.78014518689432,1025.706919945726,1101.3880597014925,0.4853137384834753,791.0,106.5685424949238,30.632948674096244,0.6580357142857143,1.0217683774805308
11,12,1013,691,1043,724,777.0,990.0,34.865826340138725,28.763134360608742,1027.6293436293436,706.6795366795367,0.5651818118370858,824.0,108.08326112068522,31.453253031430968,0.7848484848484848,-1.375988497594128
12,13,1028,1263,1064,1298,937.0,1260.0,35.81030398692892,33.5387929060937,1045.4375667022412,1279.5613660618997,0.3504853157475074,982.0,116.91168824543142,34.54020054106298,0.7436507936507937,0.14577600043978162
13,14,1031,2130,1065,2164,813.0,1156.0,33.91001420379732,30.761505850701752,1048.7453874538746,2145.912669126691,0.42080509319588594,850.0,109.39696961967,32.173649930800316,0.7032871972318339,1.0535441200222775
14,15,1034,2316,1072,2356,1014.0,1520.0,38.12912160160814,34.26596822997195,1052.3846153846155,2334.6854043392505,0.43860010424889223,1076.0,124.12489168102785,35.93139154501889,0.6671052631578948,1.5449619593227588
15,16,1040,1528,1075,1566,989.0,1330.0,38.18902405403637,33.23683899791376,1058.2527805864509,1546.443882709808,0.49247889214385115,1038.0,123.1543289325507,35.485685983831225,0.7436090225563909,1.5584903867970934
16,17,1042,1030,1081,1076,1276.0,1794.0,42.99780434931016,37.94171986438312,1061.4278996865203,1052.582288401254,0.47048004231506385,1331.0,136.71067811865473,40.306992682189374,0.7112597547380156,1.348645321500959
17,18,1042,1962,1072,1994,697.0,960.0,31.029339751795632,28.94817393437363,1057.0473457675753,1976.54806312769,0.36006013222063604,752.0,105.49747468305831,29.790064831759068,0.7260416666666667,-1.5129052654089052
18,19,1044,590,1080,628,1067.0,1368.0,39.21411768919602,35.13645202733576,1060.527647610122,608.4264292408623,0.44402304362111594,1124.0,130.46803743153546,36.85846706297507,0.7799707602339181,1.0255861698107158
19,20,1045,2254,1068,2285,570.0,713.0,32.530511023962724,22.873078784861455,1056.0719298245615,2269.821052631579,0.7110643440694638,618.0,95.59797974644665,26.939683377854365,0.7994389901823282,1.4746003897505153
20,21,1052,879,1079,907,557.0,756.0,27.29222732704021,26.46739757860863,1064.9299820466786,892.3016157989229,0.24398958754308792,606.0,96.84062043356595,26.63070457981699,0.7367724867724867,0.623570701146861
21,22,1072,2458,1096,2489,563.0,744.0,30.029970422947667,24.115244696482243,1083.385435168739,2472.3889875666073,0.5959261491433407,587.0,89.01219330881976,26.77375326109316,0.7567204301075269,1.4475723633286126
22,23,1082,1373,1112,1409,756.0,1080.0,34.961250551179965,27.949912708368945,1097.4021164021165,1389.781746031746,0.6007272684914836,814.0,110.32590180780451,31.025297674958463,0.7,1.3046112767977607
23,24,1086,791,1129,833,1259.0,1806.0,41.023593318294736,39.29680846093119,1107.9221604447976,811.525814138205,0.2870769699586648,1323.0,137.29646455628168,40.03758967297569,0.6971207087486158,-0.9756667992205211
24,25,1092,601,1128,637,930.0,1296.0,34.931101212384064,34.056677399614934,1109.6397849462367,618.1870967741935,0.2223488007586555,985.0,118.81118318204308,34.41093978088511,0.7175925925925926,1.3599217527790408
