,label,bbox-0,bbox-1,bbox-2,bbox-3,area,area_bbox,axis_major_length,axis_minor_length,centroid-0,centroid-1,eccentricity,area_convex,perimeter,equivalent_diameter_area,extent,orientation
0,1,387,1485,417,1528,988.0,1290.0,41.463454556411676,30.99138350794076,400.67206477732793,1507.15991902834,0.6643309750354232,1069.0,128.49747468305833,35.467741261579384,0.765891472868217,1.562817541300951
1,2,407,1370,431,1397,457.0,648.0,27.260202618753404,21.85099595913883,418.5601750547046,1382.2713347921226,0.597899202575793,495.0,85.35533905932738,24.121991458915023,0.7052469135802469,-1.1407317724698844
2,3,410,1103,430,1122,257.0,380.0,22.145396073738393,15.978497740927276,419.26070038910507,1113.5758754863814,0.6923864623247807,308.0,71.2842712474619,18.089294154193436,0.6763157894736842,-0.11966045512049987
3,4,430,653,464,697,1075.0,1496.0,43.415512036004685,31.89663771391973,446.0446511627907,675.4241860465116,0.6784105840022152,1141.0,140.22539674441617,36.99638510165959,0.7185828877005348,-1.2726438632439485
4,5,432,1235,455,1255,304.0,460.0,21.38841932194987,18.92709147654829,442.5657894736842,1244.5888157894738,0.46573848479285,340.0,71.94112549695429,19.67396303746374,0.6608695652173913,-0.08973495896370236
5,6,433,997,463,1029,721.0,960.0,32.06680234858992,28.75129927223268,447.77115117891816,1012.0915395284327,0.44282842738868894,756.0,103.25483399593905,30.29860907292697,0.7510416666666667,-0.9460013489457366
6,7,433,1496,474,1546,1517.0,2050.0,48.18074155944067,40.63249565894036,453.744232036915,1521.435069215557,0.5373885267566706,1633.0,159.1959594928933,43.948883823861124,0.74,1.4827597554429222
7,8,434,902,453,921,285.0,361.0,19.52336119206639,18.973960034539694,442.919298245614,910.6701754385965,0.23556211851460918,304.0,64.2842712474619,19.04923279949934,0.7894736842105263,1.188443957192606
8,9,436,855,464,889,734.0,952.0,34.20734634553016,27.847887464907252,448.7465940054496,871.8378746594005,0.5807375460219624,798.0,115.53300858899105,30.570538527078803,0.7710084033613446,1.3098993935801841
9,10,436,1310,452,1331,209.0,336.0,20.93290125615157,14.267424174645079,444.6124401913876,1319.2918660287082,0.7317446135487979,251.0,72.90559159102155,16.312788383647018,0.6220238095238095,1.381414582650959
10,11,443,1398,478,1431,792.0,1155.0,32.59967433062641,31.14168173659278,459.19191919191917,1413.3055555555557,0.2957161523286435,849.0,110.94722215136414,31.755404570407364,0.6857142857142857,0.3320143228192546
11,12,444,1801,482,1846,1178.0,1710.0,43.968873948663074,35.03798226278348,460.26740237691,1823.2521222410867,0.6041356417288233,1315.0,169.40306627407986,38.728234967501706,0.6888888888888889,1.4274430787195047
12,13,446,749,471,772,453.0,575.0,25.338773364258497,23.44753386402278,458.0309050772627,759.4569536423841,0.37908504440412877,496.0,89.76955262170047,24.016192740836935,0.7878260869565218,0.01477942903683497
13,14,447,1730,470,1754,423.0,552.0,24.259651962465092,22.392535320102013,458.02364066193854,1741.950354609929,0.3847132676909611,447.0,79.35533905932738,23.207333483685147,0.7663043478260869,-0.7498019932079328
14,15,469,808,504,846,986.0,1330.0,37.52876397730397,33.61364762252778,485.4046653144016,827.2789046653144,0.4447053632888154,1034.0,122.22539674441619,35.43182455235505,0.7413533834586467,-1.3202821952571386
15,16,471,1600,512,1646,1412.0,1886.0,44.98353910547965,40.16318841790451,490.7627478753541,1622.4320113314448,0.45037023192317055,1471.0,143.88225099390857,42.40063958439837,0.7486744432661718,-1.387062315521011
16,17,472,1303,506,1336,756.0,1122.0,32.79086306423351,29.69936094375408,489.48015873015873,1318.9537037037037,0.4238751607956507,817.0,111.39696961966999,31.025297674958463,0.6737967914438503,0.6926625086805388
17,18,476,1084,508,1123,865.0,1248.0,39.44393683083294,30.0978422821379,491.71329479768787,1103.9965317919075,0.6463350816181931,983.0,130.5685424949238,33.186626918021,0.6931089743589743,-1.2650922991911349
18,19,492,1527,518,1552,496.0,650.0,26.23061878492611,24.39803570955136,503.24798387096774,1539.0887096774193,0.3672159130246466,530.0,86.5269119345812,25.13019725725687,0.7630769230769231,0.5849546793338244
19,20,508,1940,543,1981,1038.0,1435.0,38.57276324478914,34.76297032098319,524.5211946050097,1959.6878612716764,0.4333389773141287,1131.0,140.0893577750951,36.3541283410165,0.7233449477351916,1.3829762856626349
20,21,514,1115,549,1152,954.0,1295.0,36.96188187043142,32.98268723636216,530.7232704402516,1133.440251572327,0.451357346848233,994.0,116.2253967444162,34.8521236896311,0.7366795366795367,-0.9575067577200168
21,22,520,719,545,748,506.0,725.0,28.748236544823403,23.120523937902533,532.5671936758894,733.203557312253,0.5943026690616777,576.0,92.3908729652601,25.38226171238474,0.6979310344827586,-1.5479944180115088
22,23,526,2089,564,2127,1011.0,1444.0,36.759301720533266,35.68181755327092,545.6023738872403,2106.8763600395646,0.2403426092081413,1090.0,128.8111831820431,35.878199226372125,0.7001385041551247,1.132499611100403
23,24,529,480,565,522,1163.0,1512.0,41.47390730550973,35.9676603310775,546.9036973344798,500.37747205503007,0.49789751502573826,1227.0,133.18986283848346,38.48087304787918,0.7691798941798942,-1.4959328212339729
24,25,529,841,575,895,1807.0,2484.0,53.67643848097811,43.48530401269984,551.4781405644715,866.5744327614831,0.5862396946297949,1956.0,179.9238815542512,47.966069855017714,0.7274557165861514,-1.4771771566801328
25,26,531,1387,570,1427,1201.0,1560.0,40.77004697370363,37.71792907602213,550.2880932556203,1405.451290591174,0.379630420567913,1274.0,140.46803743153546,39.1044843109704,0.7698717948717949,-0.7476314158767793
26,27,547,1966,585,2010,1283.0,1672.0,44.07258519788189,37.362036836256294,566.091192517537,1987.179267342167,0.53041405286694,1356.0,141.63961030678928,40.41740139958547,0.7673444976076556,-1.243576762340264
27,28,549,1482,583,1521,964.0,1326.0,37.60156854889571,33.25007528947785,565.8464730290457,1502.1784232365146,0.466969118750692,1021.0,124.81118318204308,35.03431062722223,0.726998491704374,-1.564088796691006
28,29,553,1795,588,1832,945.0,1295.0,35.85027736170759,33.7468479915831,570.6275132275132,1812.4857142857143,0.3374948093095271,987.0,115.9827560572969,34.68733731168665,0.7297297297297297,0.9257420444582212
29,30,555,2179,598,2228,1569.0,2107.0,48.210088880391254,41.9265906813378,576.3690248565965,2203.1045251752707,0.4936436935095099,1694.0,170.78174593052023,44.695781072596446,0.7446606549596583,1.2378902418410442
