,label,bbox-0,bbox-1,bbox-2,bbox-3,area,area_bbox,axis_major_length,axis_minor_length,centroid-0,centroid-1,eccentricity,area_convex,perimeter,equivalent_diameter_area,extent,orientation
91,92,1785,2373,1811,2393,416.0,520.0,25.94839343328672,20.46210412334077,1797.3197115384614,2382.5985576923076,0.6149460140994882,434.0,75.698484809835,23.014509567006368,0.8,-0.16085449378060673
92,93,1786,1847,1827,1881,1071.0,1394.0,39.61366304182322,34.524361718714445,1805.6582633053222,1863.6797385620914,0.49034819944721164,1109.0,122.15432893255071,36.92749046999213,0.7682926829268293,-0.20476385581392045
93,94,1792,1330,1819,1367,730.0,999.0,37.4781735891397,25.04802024279386,1804.9013698630138,1348.1178082191782,0.7438593411206544,767.0,104.08326112068524,30.487126261041215,0.7307307307307307,-1.4462032049034752
94,95,1793,3004,1837,3046,1243.0,1848.0,47.52624536961943,33.79002308350342,1815.4432823813354,3022.481898632341,0.7032162043205026,1292.0,139.29646455628168,39.7823673768393,0.6726190476190477,0.64875496716005
95,96,1801,2057,1829,2087,671.0,840.0,29.671694594065436,28.871822133670545,1814.2816691505216,2071.307004470939,0.23062555331923204,687.0,95.01219330881976,29.229158977248975,0.7988095238095239,1.439981555368191
96,97,1802,2008,1846,2048,1426.0,1760.0,45.11431528296452,40.40409114970187,1822.609396914446,2027.62412342216,0.4448731716121649,1467.0,141.1543289325507,42.61032258493641,0.8102272727272727,-0.2974019915756551
97,98,1805,2760,1853,2828,2059.0,3264.0,77.06840323920876,37.95292055883411,1828.0252549781446,2793.374453618261,0.8703364386824919,2435.0,219.40916292848974,51.201564650015335,0.6308210784313726,1.2354164248231685
98,99,1829,2971,1869,3000,771.0,1160.0,38.43511642761097,26.75190811747857,1848.2334630350194,2984.390402075227,0.7180148694707028,850.0,116.22539674441619,31.331576548121713,0.6646551724137931,-0.14125489498130064
99,100,1830,1668,1870,1714,1337.0,1840.0,44.00104135110538,39.0775363832832,1849.792071802543,1691.9603590127151,0.45964100112155815,1375.0,138.12489168102786,41.25919620291836,0.7266304347826087,1.2653102992448302
100,101,1850,1614,1888,1651,1113.0,1406.0,39.55192483502757,35.99497365370382,1869.0637915543575,1632.5633423180593,0.4144571614841071,1152.0,124.9116882454314,37.64459607022283,0.7916073968705548,-0.7304884628937688
101,102,1875,2569,1947,2622,2359.0,3816.0,81.21012324370962,42.28811441864825,1909.4688427299702,2596.17168291649,0.8537246750106192,2781.0,229.58073580374358,54.80485458451878,0.6181865828092243,-0.4140183302157704
102,103,1882,2365,1898,2386,263.0,336.0,21.639210695035185,15.77691834504655,1889.7376425855514,2376.3231939163497,0.684418512694517,273.0,61.21320343559643,18.29923496393627,0.7827380952380952,-1.2705279779842218
103,104,1882,2426,1926,2476,1689.0,2200.0,51.122910047223726,42.22196196330935,1902.9840142095916,2449.4399052693902,0.5638295058311545,1740.0,154.71067811865476,46.37350095752627,0.7677272727272727,-1.271701280082706
104,105,1882,3037,1938,3087,2220.0,2800.0,57.297499424594314,49.5889024823635,1910.2936936936937,3061.3756756756757,0.5009717415185552,2269.0,178.12489168102786,53.165701249132994,0.7928571428571428,-0.09225394488032725
