,label,bbox-0,bbox-1,bbox-2,bbox-3
0,1,1006,1607,1029,1634
1,2,1030,1281,1049,1307
2,3,1031,1467,1052,1490
3,4,1054,1930,1086,1964
4,5,1066,1783,1087,1805
5,6,1069,2200,1086,2222
6,7,1073,2084,1101,2117
7,8,1084,1312,1105,1335
8,9,1092,2011,1113,2033
9,10,1096,1022,1123,1054
10,11,1120,1349,1142,1373
11,12,1127,2433,1157,2474
12,13,1147,1593,1168,1615
13,14,1168,2467,1194,2496
14,15,1172,1689,1196,1718
15,16,1176,1500,1205,1530
16,17,1186,2630,1216,2665
17,18,1199,1235,1229,1269
18,19,1205,2096,1234,2127
19,20,1206,1112,1229,1140
20,21,1211,2524,1230,2545
21,22,1216,1487,1236,1508
22,23,1224,1979,1249,2015
23,24,1250,862,1276,888
24,25,1256,747,1283,774
25,26,1259,1199,1285,1228
26,27,1267,2494,1296,2533
27,28,1274,548,1296,576
28,29,1281,1801,1307,1831
29,30,1286,2664,1309,2692
30,31,1289,675,1314,701
31,32,1295,1550,1310,1569
32,33,1305,885,1333,921
33,34,1306,1592,1335,1620
34,35,1319,2149,1347,2182
35,36,1325,1310,1348,1343
36,37,1328,1047,1353,1074
37,38,1333,2831,1356,2863
38,39,1336,1919,1364,1941
39,40,1339,2362,1363,2388
40,41,1340,547,1357,565
41,42,1346,827,1367,847
42,43,1349,1978,1378,2011
43,44,1350,2638,1376,2673
44,45,1364,610,1388,641
45,46,1366,935,1385,957
46,47,1369,1482,1390,1506
47,48,1381,1545,1408,1582
48,49,1388,551,1410,574
49,50,1401,2273,1436,2310
50,51,1402,1334,1430,1371
51,52,1402,1920,1426,1949
52,53,1403,1873,1420,1894
53,54,1404,1257,1422,1281
54,55,1411,2054,1429,2081
55,56,1416,1072,1433,1089
56,57,1420,2676,1438,2695
57,58,1428,1700,1453,1729
58,59,1437,451,1457,473
59,60,1437,2768,1457,2791
60,61,1443,1765,1466,1793
61,62,1454,2920,1481,2949
62,63,1457,1232,1483,1259
63,64,1467,2039,1495,2068
64,65,1472,2224,1492,2248
65,66,1482,2825,1509,2859
66,67,1488,1439,1508,1462
67,68,1504,2639,1529,2664
68,69,1506,2915,1544,2953
69,70,1507,1891,1529,1924
70,71,1516,1197,1540,1224
71,72,1547,2875,1574,2903
72,73,1548,2062,1574,2097
73,74,1565,1359,1593,1394
74,75,1572,1591,1598,1622
75,76,1572,1757,1595,1782
76,77,1590,2814,1610,2839
77,78,1604,2487,1632,2517
78,79,1613,543,1636,569
79,80,1614,1947,1642,1985
80,81,1618,2751,1641,2779
81,82,1633,1446,1654,1469
82,83,1634,1279,1659,1312
83,84,1641,211,1657,230
84,85,1643,1507,1664,1529
85,86,1646,1222,1669,1245
86,87,1648,1590,1674,1624
87,88,1649,2691,1676,2722
88,89,1661,2526,1686,2549
89,90,1669,2337,1701,2373
90,91,1674,972,1706,1010
91,92,1676,2254,1700,2284
92,93,1686,325,1708,349
93,94,1691,2039,1722,2076
94,95,1691,2753,1710,2774
95,96,1703,1414,1730,1439
96,97,1712,2606,1734,2638
97,98,1714,1143,1736,1165
98,99,1715,703,1741,730
99,100,1720,1722,1745,1749
100,101,1723,811,1746,837
101,102,1732,289,1749,307
102,103,1736,1939,1765,1973
103,104,1745,602,1777,632
104,105,1746,377,1770,408
105,106,1752,2391,1782,2422
106,107,1763,990,1787,1021
107,108,1781,823,1805,848
108,109,1786,1768,1812,1795
109,110,1796,1409,1820,1434
110,111,1798,2517,1814,2536
111,112,1803,1958,1824,1979
112,113,1808,1539,1841,1574
113,114,1820,1155,1838,1183
114,115,1821,2169,1842,2194
115,116,1822,714,1846,737
116,117,1842,2110,1866,2137
117,118,1842,2373,1870,2406
118,119,1849,819,1869,836
119,120,1876,1035,1900,1061
120,121,1892,1499,1911,1520
121,122,1900,1687,1919,1710
122,123,1906,932,1928,963
123,124,1908,2098,1932,2126
124,125,1909,1215,1932,1243
125,126,1911,2047,1940,2076
126,127,1917,1776,1938,1800
127,128,1919,1844,1942,1868
128,129,1936,1942,1968,1975
129,130,1946,1549,1970,1574
