,label,bbox-0,bbox-1,bbox-2,bbox-3
0,1,1032,1281,1049,1301
1,2,1074,2084,1100,2115
2,3,1093,2012,1112,2032
3,4,1096,1026,1122,1052
4,5,1126,2433,1156,2473
5,6,1171,2468,1194,2496
6,7,1214,1486,1235,1506
7,8,1274,548,1294,574
8,9,1287,676,1314,701
9,10,1319,2152,1347,2181
10,11,1334,2837,1354,2859
11,12,1348,2638,1374,2662
12,13,1350,1981,1377,2007
13,14,1365,604,1388,633
14,15,1388,551,1409,573
15,16,1402,1920,1425,1947
16,17,1403,1334,1430,1369
17,18,1404,1258,1421,1280
18,19,1411,2057,1429,2080
19,20,1417,2276,1436,2309
20,21,1456,2920,1481,2947
21,22,1457,1233,1483,1258
22,23,1466,2039,1494,2066
23,24,1478,2821,1509,2859
24,25,1488,1439,1507,1460
25,26,1504,2635,1528,2662
26,27,1506,2915,1543,2953
27,28,1507,1892,1528,1922
28,29,1547,2875,1572,2904
29,30,1565,1360,1593,1393
30,31,1589,2813,1609,2839
31,32,1604,2484,1628,2517
32,33,1615,544,1635,569
33,34,1618,2753,1638,2778
34,35,1634,1279,1659,1312
35,36,1634,1446,1652,1468
36,37,1640,209,1656,229
37,38,1646,1220,1667,1244
38,39,1647,2690,1675,2722
39,40,1686,327,1707,348
40,41,1692,2752,1709,2772
41,42,1702,1411,1729,1440
42,43,1711,2607,1733,2637
43,44,1731,289,1748,307
44,45,1746,389,1769,408
45,46,1751,2391,1781,2421
46,47,1843,2373,1868,2405
