,label,bbox-0,bbox-1,bbox-2,bbox-3
0,1,1005,1606,1029,1632
1,2,1030,1280,1049,1305
2,3,1031,1467,1052,1489
3,4,1053,1930,1085,1963
4,5,1065,1783,1087,1804
5,6,1068,2201,1086,2221
6,7,1073,2084,1100,2117
7,8,1083,1311,1105,1334
8,9,1092,2011,1113,2032
9,10,1095,1026,1122,1053
10,11,1120,1349,1142,1372
11,12,1126,2433,1156,2473
12,13,1129,2205,1146,2223
13,14,1147,1594,1168,1615
14,15,1168,2468,1194,2496
15,16,1171,1691,1194,1717
16,17,1174,2571,1190,2588
17,18,1176,1500,1205,1529
18,19,1187,2630,1215,2665
19,20,1194,1405,1212,1425
20,21,1198,1234,1229,1269
21,22,1204,2096,1233,2127
22,23,1205,1111,1229,1140
23,24,1212,2525,1230,2544
24,25,1216,1486,1234,1506
25,26,1223,1981,1249,2012
26,27,1248,862,1276,886
27,28,1255,747,1282,773
28,29,1258,1198,1285,1227
29,30,1265,2495,1296,2532
30,31,1273,547,1296,574
31,32,1280,1801,1306,1830
32,33,1284,2663,1308,2691
33,34,1288,675,1314,700
34,35,1303,886,1332,920
35,36,1305,1596,1335,1619
36,37,1314,2098,1329,2116
37,38,1318,2154,1348,2180
38,39,1319,1139,1344,1162
39,40,1324,1311,1348,1343
40,41,1325,1375,1341,1393
41,42,1328,1047,1352,1072
42,43,1329,2836,1356,2859
43,44,1336,1918,1363,1941
44,45,1338,2362,1363,2387
45,46,1341,547,1357,564
46,47,1346,828,1367,846
47,48,1347,2637,1376,2672
48,49,1354,1978,1378,2008
49,50,1365,604,1388,633
50,51,1369,1484,1390,1505
51,52,1380,1546,1408,1581
52,53,1388,552,1410,573
53,54,1401,1920,1426,1946
54,55,1401,2276,1435,2310
55,56,1402,1334,1430,1367
56,57,1403,1873,1420,1891
57,58,1404,1258,1422,1280
58,59,1411,2055,1429,2080
59,60,1415,1064,1433,1088
60,61,1419,2677,1438,2693
61,62,1424,1702,1452,1727
62,63,1437,452,1456,472
63,64,1437,2767,1457,2790
64,65,1443,1765,1466,1789
65,66,1454,2920,1481,2948
66,67,1457,1233,1483,1258
67,68,1458,2567,1474,2587
68,69,1466,2039,1494,2067
69,70,1471,2224,1491,2246
70,71,1476,1987,1492,2004
71,72,1478,2822,1508,2859
72,73,1487,1438,1508,1460
73,74,1504,2634,1529,2662
74,75,1505,2915,1543,2952
75,76,1507,1893,1528,1922
76,77,1515,1196,1539,1224
77,78,1522,1075,1538,1093
78,79,1546,2875,1572,2904
79,80,1548,2063,1573,2096
80,81,1564,1360,1593,1392
81,82,1571,1591,1598,1620
82,83,1572,1757,1595,1781
83,84,1572,2698,1589,2720
84,85,1589,2813,1610,2839
85,86,1603,2484,1631,2518
86,87,1613,544,1635,569
87,88,1613,1950,1643,1984
88,89,1617,2753,1638,2778
89,90,1633,1279,1659,1312
90,91,1633,1446,1653,1468
91,92,1640,209,1657,230
92,93,1643,1507,1664,1528
93,94,1645,1220,1668,1244
94,95,1648,1591,1674,1620
95,96,1648,2690,1676,2720
96,97,1661,2525,1686,2547
97,98,1669,2338,1700,2373
98,99,1673,972,1701,1009
99,100,1676,2254,1700,2282
100,101,1685,326,1708,348
101,102,1690,2040,1722,2072
102,103,1691,2752,1710,2773
103,104,1702,1412,1729,1439
104,105,1710,2607,1734,2637
105,106,1713,1143,1736,1164
106,107,1715,703,1740,729
107,108,1720,1723,1744,1748
108,109,1723,811,1746,836
109,110,1728,2505,1751,2535
110,111,1736,1939,1765,1972
111,112,1743,601,1773,631
112,113,1744,377,1769,408
113,114,1751,2391,1781,2420
114,115,1760,990,1787,1021
115,116,1781,823,1804,847
116,117,1786,1767,1812,1794
117,118,1796,1410,1820,1432
118,119,1799,2518,1814,2535
119,120,1802,1958,1824,1977
120,121,1808,1540,1837,1574
121,122,1820,1155,1837,1181
122,123,1820,2171,1841,2192
123,124,1821,714,1843,737
124,125,1842,2111,1866,2136
125,126,1842,2373,1868,2405
126,127,1876,1037,1899,1060
127,128,1892,1500,1911,1520
128,129,1900,1687,1919,1709
129,130,1906,932,1925,963
130,131,1907,2098,1931,2125
131,132,1908,1215,1931,1240
132,133,1911,2047,1939,2074
133,134,1916,1777,1938,1799
134,135,1918,1844,1941,1867
135,136,1936,1942,1963,1974
136,137,1946,1552,1969,1574
