,label,bbox-0,bbox-1,bbox-2,bbox-3
0,1,1003,1604,1029,1634
1,2,1029,1465,1053,1490
2,3,1051,1926,1086,1964
3,4,1065,1782,1088,1805
4,5,1068,2198,1087,2222
5,6,1070,2083,1102,2119
6,7,1082,1310,1106,1336
7,8,1092,2009,1114,2033
8,9,1105,1484,1123,1504
9,10,1117,1660,1135,1677
10,11,1119,1347,1142,1373
11,12,1120,2431,1157,2475
12,13,1128,2203,1146,2222
13,14,1138,1932,1155,1949
14,15,1144,1591,1169,1616
15,16,1167,2464,1195,2497
16,17,1170,1687,1198,1720
17,18,1172,1499,1206,1532
18,19,1173,2570,1192,2587
19,20,1183,2629,1216,2666
20,21,1185,2230,1208,2252
21,22,1193,1404,1212,1425
22,23,1196,1232,1230,1269
23,24,1203,2094,1234,2130
24,25,1211,2523,1231,2546
25,26,1215,1486,1236,1507
26,27,1218,1977,1252,2016
27,28,1246,858,1276,889
28,29,1257,1197,1286,1228
29,30,1272,2230,1289,2247
30,31,1278,2427,1297,2450
31,32,1279,1799,1307,1834
32,33,1279,2661,1310,2693
33,34,1283,673,1316,704
34,35,1294,1548,1310,1571
35,36,1301,1762,1318,1780
36,37,1304,818,1322,836
37,38,1317,2147,1348,2185
38,39,1318,1138,1345,1163
39,40,1323,1308,1348,1345
40,41,1326,1046,1353,1074
41,42,1335,1907,1365,1941
42,43,1344,2636,1377,2673
43,44,1345,826,1368,848
44,45,1348,1977,1379,2014
45,46,1365,934,1386,957
46,47,1368,1481,1390,1506
47,48,1376,1543,1409,1583
48,49,1387,547,1411,574
49,50,1399,2271,1437,2312
50,51,1400,1333,1432,1372
51,52,1400,1915,1427,1952
52,53,1402,1872,1420,1896
53,54,1403,1256,1422,1281
54,55,1406,2450,1421,2468
55,56,1410,2053,1430,2081
56,57,1418,2672,1440,2696
57,58,1420,1696,1454,1731
58,59,1435,449,1459,474
59,60,1436,2765,1458,2793
60,61,1441,1762,1466,1794
61,62,1455,1230,1483,1260
62,63,1456,2565,1474,2589
63,64,1465,2037,1496,2068
64,65,1468,2338,1486,2357
65,66,1469,2222,1492,2249
66,67,1475,1984,1492,2007
67,68,1475,2819,1510,2860
68,69,1487,1436,1508,1464
69,70,1493,1638,1509,1659
70,71,1505,1886,1530,1925
71,72,1513,1195,1541,1225
72,73,1520,1073,1540,1094
73,74,1522,1833,1537,1853
74,75,1528,2775,1544,2792
75,76,1543,2061,1575,2098
76,77,1546,2874,1575,2905
77,78,1551,2015,1566,2035
78,79,1563,1358,1594,1396
79,80,1567,1588,1599,1624
80,81,1571,1755,1596,1783
81,82,1580,830,1602,857
82,83,1586,2811,1614,2843
83,84,1601,2152,1622,2173
84,85,1601,2481,1633,2519
85,86,1604,1903,1620,1924
86,87,1606,2278,1624,2298
87,88,1611,542,1636,569
88,89,1612,1946,1643,1986
89,90,1616,2747,1642,2780
90,91,1631,1278,1664,1315
91,92,1632,1445,1654,1469
92,93,1642,1505,1665,1530
93,94,1644,1218,1669,1246
94,95,1646,1587,1675,1626
95,96,1647,1143,1663,1160
96,97,1647,2689,1678,2723
97,98,1659,2523,1686,2550
98,99,1661,1770,1681,1794
99,100,1674,2251,1701,2284
100,101,1675,919,1690,940
101,102,1683,323,1708,350
102,103,1687,2169,1703,2188
103,104,1689,2038,1723,2076
104,105,1690,2751,1710,2775
105,106,1694,482,1712,499
106,107,1702,1410,1730,1441
107,108,1713,1140,1737,1165
108,109,1714,702,1742,730
109,110,1719,1719,1746,1752
110,111,1722,810,1746,837
111,112,1723,1300,1742,1323
112,113,1734,1938,1766,1977
113,114,1742,373,1771,409
114,115,1750,2389,1782,2424
115,116,1780,821,1806,849
116,117,1785,1766,1813,1796
117,118,1787,1202,1804,1218
118,119,1793,1258,1810,1274
119,120,1795,1408,1821,1434
120,121,1797,2515,1814,2536
121,122,1800,1951,1826,1980
122,123,1817,2166,1843,2195
123,124,1827,926,1844,945
124,125,1840,2109,1866,2138
125,126,1841,2371,1870,2406
126,127,1891,1496,1912,1520
127,128,1891,1906,1908,1922
128,129,1899,1686,1920,1710
129,130,1906,2097,1933,2126
130,131,1907,1213,1933,1244
131,132,1909,2278,1925,2297
132,133,1910,2046,1942,2077
133,134,1916,1774,1938,1802
134,135,1917,1843,1942,1868
135,136,1923,1459,1941,1479
