,label,area,axis_major_length,axis_minor_length,centroid-0,centroid-1,eccentricity,extent,bbox-0,bbox-1,bbox-2,bbox-3
0,1,461.0,26.061007442009426,22.59674055576362,752.3015184381778,1941.9154013015184,0.49818480080639505,0.8381818181818181,742,1930,764,1955
1,2,518.0,26.99346067665875,24.50549434182483,771.6583011583011,1737.2664092664093,0.4193367178056674,0.7708333333333334,760,1724,784,1752
2,3,556.0,29.103660645364258,24.495960655364296,776.523381294964,1335.6187050359713,0.5399770972694998,0.766896551724138,765,1321,790,1350
3,4,835.0,34.21190116132381,31.155203284095855,803.7820359281437,1837.2694610778442,0.4131698978335419,0.7674632352941176,788,1821,820,1855
4,5,491.0,27.085086460603378,23.13115367993454,803.5885947046843,2096.1812627291242,0.5202433180143503,0.7577160493827161,792,2083,816,2110
5,6,1164.0,39.61905042553918,37.444742478038314,828.0841924398626,1225.1340206185566,0.3267244641881078,0.7652859960552268,809,1206,848,1245
6,7,701.0,32.87500123933133,27.29084827233104,828.9543509272468,1802.718972895863,0.557555240193626,0.7302083333333333,814,1787,844,1819
7,8,1115.0,41.3539873750393,34.4065504865151,844.6206278026906,1679.0762331838564,0.5547744339186189,0.7585034013605442,828,1658,863,1700
8,9,306.0,22.481035491119588,17.442095409408275,839.3464052287582,1440.575163398693,0.6309073431496391,0.7285714285714285,830,1430,850,1451
9,10,594.0,30.002590886740215,25.34360925437745,855.0454545454545,2118.016835016835,0.5352179173088273,0.792,843,2103,868,2133
10,11,505.0,28.060781014611216,22.97364774733149,870.8475247524752,1881.9722772277228,0.5742069330443097,0.7841614906832298,860,1868,883,1896
11,12,591.0,29.63227709495929,25.48309072559923,882.5719120135363,1069.1099830795263,0.5103319986251573,0.7278325123152709,868,1055,897,1083
12,13,1352.0,43.053346651624025,40.086348087856955,894.8483727810651,1546.7056213017752,0.36480095356015213,0.7312060573282856,874,1525,917,1568
13,14,537.0,27.4991951227984,24.89158437131978,907.0074487895716,1308.6145251396647,0.4250390468269118,0.7649572649572649,894,1296,920,1323
14,15,1085.0,40.182082761042196,34.618369122360924,935.5870967741936,2023.6811059907834,0.5076940240390253,0.8182503770739065,920,2004,954,2043
15,16,429.0,28.752304515976316,19.383794463693302,938.4032634032634,1679.3776223776224,0.7385808616891564,0.715,929,1664,949,1694
16,17,448.0,27.104830981366113,21.12683423318491,974.9642857142857,1557.2455357142858,0.6264656484486908,0.7619047619047619,962,1547,990,1568
17,18,884.0,41.31706514243554,27.4083051497148,980.0871040723982,2368.0780542986427,0.7482957625375869,0.7428571428571429,963,2351,997,2386
18,19,782.0,32.12890408101831,31.065170901225024,992.4872122762148,2157.6253196930948,0.25518704418339216,0.740530303030303,977,2142,1009,2175
19,20,326.0,25.602070603139833,16.853768315851475,988.3006134969326,1096.3711656441717,0.7527582312249088,0.659919028340081,979,1085,998,1111
20,21,888.0,35.41979668610111,31.957969835520103,1012.3997747747748,1881.2984234234234,0.43118625904638086,0.7914438502673797,996,1865,1030,1898
21,22,681.0,32.333022876497715,26.925754224516957,1023.1497797356828,1094.769456681351,0.5536292237069134,0.7827586206896552,1009,1080,1038,1110
22,23,1492.0,47.74261769792791,39.87346496415742,1049.0187667560322,1371.3471849865953,0.5499835194896143,0.7426580388252862,1029,1348,1070,1397
23,24,596.0,29.347254492477905,26.05892904691661,1044.2986577181207,1500.273489932886,0.4599377290574259,0.8175582990397805,1032,1487,1059,1514
24,25,565.0,29.052161917353416,25.041876239305743,1045.2601769911505,1817.8230088495575,0.5069719150404153,0.6975308641975309,1033,1804,1060,1834
25,26,347.0,23.37630668670365,18.9501092598861,1057.0374639769452,1724.3688760806917,0.5855247294013162,0.7609649122807017,1048,1713,1067,1737
26,27,307.0,22.28422982000527,17.626203085965248,1063.3257328990228,1252.4527687296418,0.6118522746531434,0.7344497607655502,1055,1242,1074,1264
27,28,582.0,28.56728859366219,26.057908874965953,1081.410652920962,1912.6305841924398,0.4098365430412406,0.7983539094650206,1069,1900,1096,1927
28,29,386.0,24.029014041492903,21.005680387601554,1083.5544041450778,1634.4067357512954,0.4856022587265582,0.7628458498023716,1072,1625,1095,1647
29,30,708.0,31.40556030701379,28.788497743374023,1092.0084745762713,2516.0437853107346,0.3996476999234279,0.7866666666666666,1077,2501,1107,2531
30,31,371.0,22.804268799341166,20.840424293382497,1091.5687331536387,2102.070080862534,0.40597857934518433,0.803030303030303,1081,2092,1103,2113
31,32,418.0,25.495279575928247,20.92099155036351,1093.8014354066986,958.5837320574162,0.5715274564204463,0.76,1082,948,1107,970
32,33,1265.0,44.476882514341945,36.27617236469382,1100.1225296442688,2143.221343873518,0.5785899322929086,0.7926065162907269,1082,2123,1120,2165
33,34,1188.0,40.361238755263074,37.680276020488215,1110.4814814814815,1317.358585858586,0.358379984933505,0.7810650887573964,1092,1298,1131,1337
34,35,1570.0,45.98985231195284,43.56294526096899,1115.051592356688,2018.0095541401274,0.3205561663337916,0.8298097251585623,1094,1996,1137,2040
35,36,362.0,29.61757452918193,16.249691578848523,1105.1022099447514,1148.867403314917,0.8360519316691671,0.5876623376623377,1096,1138,1118,1166
36,37,964.0,35.93212425558069,34.19075665041702,1139.5788381742739,1694.2354771784233,0.3075333455180261,0.8100840336134454,1123,1677,1157,1712
37,38,493.0,27.816325134951285,22.704851999593224,1141.7281947261663,1137.870182555781,0.5777101764541263,0.7938808373590982,1131,1125,1154,1152
38,39,670.0,31.66639848493863,27.024352277026985,1145.3373134328358,2337.079104477612,0.5212437847385358,0.7976190476190477,1131,2323,1161,2351
39,40,1064.0,39.28241866174306,34.625778761730956,1169.2236842105262,1242.515037593985,0.4722635340494209,0.7578347578347578,1152,1223,1188,1262
40,41,506.0,26.846255461117597,24.227838761504184,1169.6442687747035,2078.4347826086955,0.4307606258235081,0.7496296296296296,1156,2067,1183,2092
41,42,1084.0,37.46186283940045,36.885395536771476,1198.0424354243542,2375.286900369004,0.17475533750570804,0.7918188458729,1180,2357,1217,2394
42,43,823.0,36.39828725778874,28.84595380377418,1198.1786148238152,935.2089914945321,0.6098608042015689,0.7414414414414414,1184,917,1214,954
43,44,462.0,28.244124364095857,21.04032005722196,1202.995670995671,1455.3246753246754,0.6671258524775325,0.7725752508361204,1191,1445,1217,1468
44,45,1224.0,42.099329380907754,37.164572791320396,1248.9191176470588,2560.8153594771243,0.4697809636830882,0.7669172932330827,1230,2541,1268,2583
45,46,904.0,35.45520861598568,32.5409862896113,1246.9646017699115,1740.6028761061948,0.39703025301444317,0.7609427609427609,1231,1724,1264,1760
46,47,465.0,26.423310377552678,22.5703590896581,1246.0924731182795,2208.722580645161,0.5199714720560931,0.748792270531401,1235,2195,1258,2222
47,48,553.0,28.97194947287965,24.45346046534584,1253.0470162748643,2011.0904159132008,0.5362815149256884,0.79,1240,1999,1268,2024
48,49,1372.0,45.775044317313274,38.258555227092096,1289.4409620991253,1868.6231778425656,0.5490415673511927,0.7681970884658454,1271,1847,1309,1894
49,50,419.0,25.517440175475507,20.96984757025351,1286.7541766109784,1600.6109785202864,0.569797808765969,0.7274305555555556,1275,1589,1299,1613
