,label,area,axis_major_length,axis_minor_length,centroid-0,centroid-1,eccentricity,extent,bbox-0,bbox-1,bbox-2,bbox-3
0,1,622.0,30.492035643013935,26.111980360447237,235.96463022508038,558.3745980707396,0.5163890205811998,0.7404761904761905,222,544,250,574
1,2,679.0,32.251520674730216,27.27809190950339,235.620029455081,876.761413843888,0.5335121107711909,0.6736111111111112,222,858,250,894
2,3,707.0,33.81481957771897,26.78109831653378,238.1004243281471,969.8062234794908,0.6105302495632716,0.7481481481481481,225,953,252,988
3,4,617.0,37.290191764273374,21.191182993597838,251.2188006482982,1129.1555915721233,0.8228368603816811,0.7731829573934837,241,1111,262,1149
4,5,433.0,23.81393851277228,23.272039183172478,271.3464203233256,742.0969976905312,0.2121162180429991,0.7216666666666667,260,730,284,755
5,6,530.0,29.74409901271235,22.73974916949372,300.788679245283,1228.6622641509434,0.6446083574291023,0.8229813664596274,290,1215,313,1243
6,7,633.0,30.346640307153326,26.666530771981588,329.36808846761454,454.6619273301738,0.4773174965118903,0.7535714285714286,316,440,344,470
7,8,976.0,39.53387521081538,31.59111856769672,360.84118852459017,1214.3309426229507,0.6012116144404315,0.7783094098883573,345,1196,378,1234
8,9,1013.0,43.86331086363528,29.477603876744098,366.5014807502468,319.9259624876604,0.7405209618375663,0.7404970760233918,348,303,386,339
9,10,533.0,28.14679165152752,24.46855924906017,365.63977485928706,690.6060037523453,0.4942502755547041,0.6833333333333333,353,677,379,707
10,11,846.0,35.28176137586671,30.594835376407637,381.79787234042556,914.3475177304964,0.49803443015418386,0.7540106951871658,366,898,399,932
11,12,865.0,35.44214558123789,31.14876935802365,393.8242774566474,1022.707514450867,0.4770753298932412,0.7508680555555556,379,1006,411,1042
12,13,846.0,35.90031707075964,30.096530167276704,423.8037825059102,607.756501182033,0.5451537946101245,0.7318339100346021,407,591,441,625
13,14,663.0,31.04694481622684,27.434279894291205,434.6003016591252,1440.025641025641,0.4681695902578503,0.7883472057074911,420,1426,449,1455
14,15,859.0,36.52781513319214,30.10131502363505,461.14551804423746,678.6728754365541,0.5664944184954549,0.7456597222222222,446,661,478,697
15,16,672.0,31.609715928941693,27.226158619974274,464.6949404761905,1256.5104166666667,0.5080586595855736,0.7990487514863258,450,1243,479,1272
16,17,983.0,37.65855725590919,33.32290622661594,516.8351983723296,223.63987792472025,0.4658391198721286,0.8024489795918367,500,207,535,242
17,18,999.0,40.35065688576845,31.669578164759134,520.6666666666666,1568.8608608608608,0.6196743291281608,0.7511278195488722,504,1550,539,1588
18,19,769.0,35.010181433376346,28.181994208512393,540.1287386215864,359.1300390117035,0.5933213864595833,0.7799188640973631,526,342,555,376
19,20,880.0,34.219743740613325,32.87027164721134,560.540909090909,1480.1545454545455,0.2780572010294112,0.8088235294117647,544,1465,578,1497
20,21,1188.0,41.184877740058404,37.02904793371848,562.4082491582492,766.8888888888889,0.4377570387300441,0.7625160462130937,545,747,583,788
21,22,809.0,34.650235924389484,29.8561204076913,582.4808405438813,1212.2274412855377,0.5075154957058351,0.7660984848484849,567,1196,599,1229
22,23,972.0,38.07832105707148,32.66162942757831,598.7973251028807,915.6203703703703,0.5140692665164317,0.7552447552447552,583,896,616,935
23,24,961.0,37.70168671628132,32.76749514259155,625.6566077003122,1574.5879292403747,0.4945917160182325,0.7626984126984127,609,1557,645,1592
24,25,1108.0,41.339079541412396,34.20817626611539,657.0523465703972,1518.216606498195,0.5614625803336251,0.7891737891737892,638,1501,677,1537
25,26,882.0,37.92244156596392,29.72133530472732,657.3219954648526,1663.6507936507937,0.6210890218460461,0.725328947368421,639,1648,677,1680
26,27,1392.0,43.48683465204604,40.92381248961221,674.596264367816,1121.9992816091954,0.33823379511294976,0.7909090909090909,655,1100,695,1144
27,28,900.0,35.627317096670396,32.265163340392164,676.7833333333333,1355.7466666666667,0.4240689783713146,0.8294930875576036,660,1341,695,1372
28,29,478.0,28.983873044115548,21.17065713274552,680.081589958159,1046.0020920502093,0.6829887929004008,0.775974025974026,669,1033,691,1061
29,30,543.0,27.093781766796113,25.664020179969675,684.3020257826888,899.1436464088398,0.32055719605647764,0.7458791208791209,671,887,699,913
30,31,1167.0,40.04060053098718,37.30528284636203,738.4378748928877,723.502999143102,0.3632636197890639,0.7677631578947368,719,704,759,742
31,32,673.0,32.585331927668214,26.4046125469166,739.1515601783061,858.0208023774146,0.5859848088513798,0.8088942307692307,724,846,756,872
32,33,997.0,37.77280376525433,33.87684409006997,743.7602808425275,1592.358074222668,0.44231842880609584,0.7925278219395866,728,1574,762,1611
33,34,1324.0,43.59960233683414,38.78059200044876,754.1117824773414,953.8889728096676,0.45699116801144213,0.7688734030197445,734,933,775,975
34,35,1226.0,42.18404434729323,37.18633451904538,810.4763458401305,1723.3026101141925,0.47213536291385877,0.768170426065163,790,1704,832,1742
35,36,889.0,34.887808185706135,32.571923393681224,827.5298087739033,669.8785151856018,0.3582672365859959,0.7923351158645277,812,654,845,688
36,37,907.0,35.44588852059156,32.664467526535546,847.4895259095921,1528.0485115766262,0.3883059740711569,0.7621848739495798,831,1512,866,1546
37,38,1363.0,45.82736432569719,38.145080079148116,871.9728539985326,1725.6449009537785,0.5542283070637434,0.7942890442890443,850,1707,894,1746
38,39,532.0,26.767539740874003,25.55282439894518,903.4567669172932,1357.2161654135339,0.2978270783798742,0.76,890,1346,918,1371
39,40,917.0,36.92778097639347,31.733183928031178,916.1210468920392,952.9236641221374,0.5114199578444234,0.7744932432432432,900,935,932,972
40,41,1082.0,37.88072731262977,36.46102119076857,928.2735674676525,1589.9630314232902,0.27120475789262277,0.7909356725146199,910,1572,948,1608
41,42,940.0,39.66387491863205,30.252751869143268,989.0702127659574,623.7255319148936,0.6467192967470025,0.746031746031746,971,607,1007,642
42,43,1234.0,41.433104719161086,38.006731687110054,990.7277147487845,769.2787682333874,0.3981887763664685,0.7717323327079425,972,749,1011,790
43,44,1008.0,39.51367364846338,32.583824334816754,1005.2847222222222,1326.0039682539682,0.5656848969117554,0.7832167832167832,989,1307,1022,1346
