,label,bbox-0,bbox-1,bbox-2,bbox-3
0,1,0,488,33,536
1,2,0,519,34,599
2,3,50,356,81,382
3,4,87,380,110,403
4,5,94,63,116,91
5,6,107,69,128,96
6,7,114,423,168,505
7,8,128,346,159,377
8,9,129,377,159,414
9,10,199,916,265,959
10,11,284,657,327,693
11,12,295,698,344,731
12,13,318,0,392,34
13,14,319,616,343,660
14,15,323,988,376,1024
15,16,373,1007,407,1024
16,17,378,772,428,809
17,18,387,741,428,771
18,19,389,807,436,883
19,20,431,847,455,870
20,21,457,450,482,470
21,22,468,969,503,1024
22,23,501,1001,535,1024
23,24,593,966,661,1019
24,25,619,845,667,891
25,26,640,888,679,921
26,27,649,996,717,1024
27,28,650,808,674,854
28,29,662,493,680,515
29,30,673,938,703,960
30,31,676,507,695,528
31,32,678,838,725,896
32,33,705,814,752,870
33,34,721,597,740,631
34,35,723,568,739,597
35,36,734,912,764,936
36,37,739,568,786,649
37,38,756,919,793,1024
38,39,773,330,804,352
39,40,784,759,813,777
40,41,806,989,835,1024
41,42,835,997,873,1024
42,43,915,324,947,348
43,44,942,702,975,732
44,45,943,35,964,63
45,46,943,827,979,926
46,47,993,724,1024,824
47,48,997,227,1021,263
48,49,999,324,1014,349
49,50,1002,694,1024,724
