,label,bbox-0,bbox-1,bbox-2,bbox-3
0,1,0,315,34,358
1,2,0,444,19,509
2,3,0,542,26,586
3,4,0,850,77,896
4,5,0,897,46,946
5,6,0,1002,22,1024
6,7,21,348,40,375
7,8,23,509,38,545
8,9,31,649,76,688
9,10,32,219,55,238
10,11,35,272,95,317
11,12,36,712,70,750
12,13,47,825,64,842
13,14,60,742,132,801
14,15,109,817,128,851
15,16,113,386,159,457
16,17,121,887,156,937
17,18,126,866,149,892
18,19,133,987,173,1021
19,20,157,918,185,959
20,21,179,830,219,881
21,22,221,729,260,760
22,23,256,790,304,861
23,24,282,832,301,854
24,25,389,325,418,351
25,26,395,886,434,924
26,27,425,1012,461,1024
27,28,495,1004,539,1024
28,29,499,972,547,1015
29,30,532,880,553,899
30,31,656,489,691,506
31,32,804,827,837,853
32,33,819,850,836,872
33,34,835,821,876,861
