,label,bbox-0,bbox-1,bbox-2,bbox-3
0,1,583,915,646,956
1,2,647,985,724,1024
2,3,662,709,686,735
3,4,677,953,717,988
4,5,716,861,746,888
5,6,720,1007,751,1024
6,7,770,561,794,588
7,8,792,802,822,825
8,9,810,825,830,847
9,10,818,689,865,729
10,11,848,726,885,780
11,12,851,660,889,683
12,13,851,939,881,973
13,14,854,970,885,1002
14,15,863,790,890,833
15,16,867,357,896,380
16,17,878,648,930,697
17,18,892,628,913,650
18,19,900,889,922,908
19,20,905,560,985,644
20,21,912,420,950,457
21,22,926,774,984,803
22,23,928,708,981,788
23,24,930,806,952,830
24,25,940,469,977,493
25,26,942,822,1000,889
26,27,942,1003,970,1024
27,28,960,992,989,1013
28,29,968,450,1001,532
29,30,971,373,1004,396
30,31,976,760,1006,777
31,32,976,877,1005,906
32,33,980,778,1024,835
33,34,981,705,1011,734
34,35,981,730,1023,764
35,36,985,921,1013,952
36,37,986,344,1012,370
37,38,987,939,1024,995
38,39,989,238,1024,280
39,40,989,857,1024,918
40,41,990,448,1024,517
41,42,992,321,1024,359
42,43,994,360,1015,377
43,44,994,392,1015,430
44,45,997,429,1024,449
45,46,998,998,1024,1024
46,47,1003,842,1024,862
