,label,bbox-0,bbox-1,bbox-2,bbox-3
0,1,566,697,614,730
1,2,585,874,606,899
2,3,634,630,691,660
3,4,651,869,685,912
4,5,663,740,700,766
5,6,709,227,745,273
6,7,714,663,762,696
7,8,735,637,777,670
8,9,745,850,773,883
9,10,785,913,812,949
10,11,799,734,823,763
11,12,800,898,823,933
12,13,811,737,852,785
13,14,819,895,839,924
14,15,827,806,849,825
15,16,833,819,857,840
16,17,837,843,865,871
17,18,852,831,875,854
18,19,857,831,894,877
19,20,859,974,884,992
20,21,868,658,949,715
21,22,868,740,898,767
22,23,876,852,902,887
23,24,876,992,907,1013
24,25,885,718,918,743
25,26,889,863,914,900
26,27,892,794,963,865
27,28,898,600,934,665
28,29,899,744,920,769
29,30,899,1002,923,1024
30,31,907,865,929,907
31,32,920,745,936,770
32,33,923,869,947,910
33,34,927,652,953,681
34,35,927,831,980,880
35,36,929,630,947,652
36,37,936,676,987,733
37,38,947,637,972,652
38,39,950,597,973,633
39,40,958,809,983,839
40,41,962,1006,984,1024
41,42,968,731,1019,788
42,43,975,653,997,682
43,44,977,635,1002,654
44,45,977,922,1024,984
45,46,983,1007,1003,1024
46,47,989,882,1024,927
47,48,993,606,1024,699
48,49,995,682,1024,738
49,50,1002,841,1024,881
