,label,bbox-0,bbox-1,bbox-2,bbox-3
0,1,594,1008,635,1024
1,2,705,946,759,1024
2,3,728,867,757,890
3,4,731,983,753,1008
4,5,745,832,772,874
5,6,759,805,782,829
6,7,765,974,801,997
7,8,771,957,807,978
8,9,774,836,792,855
9,10,785,803,801,838
10,11,815,886,857,966
11,12,817,959,855,1000
12,13,847,1000,871,1023
13,14,855,921,879,946
14,15,856,854,917,916
15,16,857,808,902,829
16,17,863,963,889,989
17,18,874,833,896,860
18,19,875,923,900,969
19,20,900,824,929,862
20,21,902,971,940,1008
21,22,906,699,926,720
22,23,914,946,932,969
23,24,918,865,951,920
24,25,928,819,947,863
25,26,932,900,961,926
26,27,935,929,979,974
27,28,937,793,1000,863
28,29,955,12,974,32
29,30,958,34,994,71
30,31,959,83,989,103
31,32,959,459,978,475
32,33,961,740,1013,787
33,34,965,905,985,927
34,35,974,867,998,885
35,36,975,772,1002,808
36,37,978,189,1024,239
37,38,986,116,1016,134
38,39,989,75,1024,132
39,40,996,575,1019,595
40,41,999,285,1024,329
41,42,1004,598,1024,649
