,label,bbox-0,bbox-1,bbox-2,bbox-3
0,1,89,28,116,42
1,2,149,964,163,988
2,3,174,860,211,893
3,4,426,976,463,989
4,5,445,665,471,683
5,6,599,576,619,592
6,7,665,963,682,982
7,8,757,1006,791,1024
8,9,771,358,798,385
9,10,789,980,824,1024
10,11,869,966,919,1024
11,12,894,951,943,1024
12,13,904,906,948,936
13,14,920,622,950,680
14,15,920,933,949,971
15,16,929,938,953,971
16,17,939,1003,969,1024
17,18,953,917,1003,995
18,19,956,552,996,604
19,20,962,332,996,391
20,21,985,291,1024,324
21,22,987,324,1024,396
22,23,990,262,1018,294
23,24,991,513,1024,542
24,25,993,422,1020,455
25,26,994,446,1024,491
