,label,bbox-0,bbox-1,bbox-2,bbox-3
0,1,0,0,49,38
1,2,0,37,24,72
2,3,0,117,71,168
3,4,0,208,35,275
4,5,13,10,73,92
5,6,15,152,43,183
6,7,58,87,86,112
7,8,104,90,132,107
8,9,129,6,147,36
9,10,160,7,180,24
10,11,182,15,224,42
11,12,198,39,225,60
12,13,243,0,300,50
13,14,259,105,278,130
14,15,480,0,516,30
15,16,556,0,586,21
16,17,626,12,652,33
17,18,643,0,695,29
18,19,692,2,729,57
19,20,724,0,789,24
20,21,728,43,749,66
21,22,756,42,794,95
22,23,764,20,781,41
23,24,796,38,820,61
24,25,812,6,835,33
25,26,892,14,912,30
26,27,894,52,930,78
27,28,906,37,930,59
28,29,929,69,959,95
29,30,956,54,972,83
30,31,984,56,1024,131
