,label,bbox-0,bbox-1,bbox-2,bbox-3
0,1,0,293,71,342
1,2,0,376,82,447
2,3,0,421,65,470
3,4,0,751,17,771
4,5,0,772,14,798
5,6,14,455,119,501
6,7,27,648,44,670
7,8,29,241,71,291
8,9,46,314,105,363
9,10,51,653,76,681
10,11,51,990,130,1024
11,12,52,942,75,965
12,13,66,91,128,160
13,14,72,287,104,316
14,15,85,264,108,288
15,16,98,95,121,124
16,17,101,224,140,299
17,18,123,366,149,390
18,19,135,237,153,261
19,20,138,262,154,288
20,21,196,493,219,508
21,22,197,507,222,525
22,23,208,214,236,247
23,24,239,320,259,357
24,25,302,630,324,656
25,26,311,646,358,675
26,27,334,421,371,439
27,28,356,618,391,676
28,29,505,934,543,950
29,30,517,161,539,179
30,31,517,914,554,932
31,32,881,751,905,776
32,33,911,325,932,357
33,34,998,359,1024,431
