,label,bbox-0,bbox-1,bbox-2,bbox-3
0,1,0,0,30,46
1,2,0,617,20,647
2,3,0,633,35,700
3,4,0,699,23,730
4,5,0,727,29,751
5,6,0,735,58,781
6,7,0,814,53,848
7,8,0,846,27,894
8,9,0,978,37,1005
9,10,0,999,25,1024
10,11,16,54,52,81
11,12,19,767,54,805
12,13,29,866,57,887
13,14,32,77,68,103
14,15,35,996,89,1024
15,16,42,928,99,974
16,17,47,899,70,930
17,18,51,801,75,823
18,19,59,975,85,1004
19,20,66,5,86,24
20,21,66,69,89,93
21,22,71,25,104,67
22,23,73,811,100,834
23,24,77,811,131,851
24,25,78,789,105,807
25,26,84,902,123,949
26,27,95,852,153,879
27,28,97,1010,139,1024
28,29,101,949,179,1024
29,30,106,834,133,857
30,31,117,935,209,1024
31,32,128,875,159,893
32,33,149,864,179,886
33,34,161,906,236,989
34,35,255,1009,285,1024
35,36,401,1016,441,1024
36,37,407,894,444,927
37,38,479,953,545,1024
